raw_name,canonical_name,entity_type,source_url,matched,startup_name
Familia,,PRODUCT,https://github.com/baidu/Familia,False,baidu
HarvestText,,PRODUCT,https://github.com/blmoistawinde/HarvestText,False,blmoistawinde
awesome_Chinese_medical_NLP,,PRODUCT,https://github.com/GanjinZero/awesome_Chinese_medical_NLP,False,GanjinZero
Awesome-Domain-LLM,,PRODUCT,https://github.com/luban-agi/Awesome-Domain-LLM,False,luban-agi
NLP-Interview-Notes,,PRODUCT,https://github.com/km1994/NLP-Interview-Notes,False,km1994
gluon-nlp,,PRODUCT,https://github.com/dmlc/gluon-nlp,False,dmlc
papers,,PRODUCT,https://github.com/aleju/papers,False,aleju
Getting-Things-Done-with-Pytorch,,PRODUCT,https://github.com/curiousily/Getting-Things-Done-with-Pytorch,False,curiousily
nlp,,PRODUCT,https://github.com/duoergun0729/nlp,False,duoergun0729
news-please,,PRODUCT,https://github.com/fhamborg/news-please,False,fhamborg
api-for-open-llm,,PRODUCT,https://github.com/xusenlinzy/api-for-open-llm,False,xusenlinzy
CodeSearchNet,,PRODUCT,https://github.com/github/CodeSearchNet,False,github
bootcamp,,PRODUCT,https://github.com/milvus-io/bootcamp,False,milvus-io
spacy-course,,PRODUCT,https://github.com/explosion/spacy-course,False,explosion
transformers_tasks,,PRODUCT,https://github.com/HarderThenHarder/transformers_tasks,False,HarderThenHarder
RL4LMs,,PRODUCT,https://github.com/allenai/RL4LMs,False,allenai
awesome-chatgpt,,PRODUCT,https://github.com/eon01/awesome-chatgpt,False,eon01
Kashgari,,PRODUCT,https://github.com/BrikerMan/Kashgari,False,BrikerMan
large_concept_model,,PRODUCT,https://github.com/facebookresearch/large_concept_model,False,facebookresearch
electra,,PRODUCT,https://github.com/google-research/electra,False,google-research
rasa_core,,PRODUCT,https://github.com/RasaHQ/rasa_core,False,RasaHQ
scattertext,,PRODUCT,https://github.com/JasonKessler/scattertext,False,JasonKessler
docspell,,PRODUCT,https://github.com/eikek/docspell,False,eikek
awesome-sentence-embedding,,PRODUCT,https://github.com/Separius/awesome-sentence-embedding,False,Separius
named_entity_recognition,,PRODUCT,https://github.com/luopeixiang/named_entity_recognition,False,luopeixiang
lazynlp,,PRODUCT,https://github.com/chiphuyen/lazynlp,False,chiphuyen
beir,,PRODUCT,https://github.com/beir-cellar/beir,False,beir-cellar
